,Name,Mileage,Dealer Name,Rating,Review Count,Price
0,2019 Volkswagen Atlas 3.6L SE w/Technology,"25,133 mi.",Volkswagen of Palm Springs,3.9,85 ,"$29,987"
1,2022 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,"5,246 mi.",The Autobarn Volkswagen of Countryside,4.9,"1,181 ","$37,699"
2,2022 Volkswagen Atlas 2.0T SE,"27,361 mi.",Castle Volkswagen of Schaumburg,4.1,624 ,"$32,777"
3,2019 Volkswagen Jetta GLI 2.0T S,"25,587 mi.",Lou Bachrodt Auto Mall,4.8,"2,995 ","$23,115"
4,2020 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,"28,658 mi.",LaFontaine Volkswagen of Dearborn,2.5,140 ,"$29,771"
5,2019 Volkswagen Jetta 1.4T S,"42,799 mi.",Byers Volkswagen by the Airport,4.7,316 ,"$17,996"
6,2019 Volkswagen Tiguan 2.0T SEL Premium,"34,957 mi.",Volkswagen of Inver Grove,4.9,760 ,"$28,590"
7,2019 Volkswagen Atlas 3.6L SEL,"35,137 mi.",King Volkswagen,3.4,187 ,"$33,489"
8,2019 Volkswagen Atlas 3.6L S,"50,734 mi.",Driver's Village,2.7,162 ,"$27,998"
9,2021 Volkswagen Tiguan 2.0T SE,"41,936 mi.",Alexandria VW,4.7,973 ,"$23,500"
10,2022 Volkswagen Tiguan 2.0T SE,"8,610 mi.",Don Thornton Volkswagen of Tulsa,3.8,281 ,"$31,745"
11,2022 Volkswagen Passat 2.0T SE,"18,267 mi.",Compass Volkswagen,n/a,0 ,"$25,634"
12,2017 Volkswagen Beetle 1.8T Dune,"57,973 mi.",Hudson Valley VW,4.2,496 ,"$27,000"
13,2019 Volkswagen Tiguan 2.0T SE,"29,623 mi.",Mohegan Lake Volkswagen,4.8,565 ,"$23,974"
14,2020 Volkswagen Arteon 2.0T SEL Premium R-Line,"38,996 mi.",Harte Volkswagen,n/a,4 ,"$33,977"
15,2022 Volkswagen Atlas 3.6L SE w/Technology,"7,561 mi.",Harte Volkswagen,n/a,4 ,"$39,577"
16,2016 Volkswagen e-Golf SEL Premium,"30,975 mi.",Volkswagen of Old Saybrook,n/a,30 ,"$17,417"
17,2018 Volkswagen Golf GTI 2.0T S 4-Door,"32,160 mi.",Volkswagen of Gainesville,4.7,955 ,"$23,000"
18,2020 Volkswagen Passat 2.0T SEL,"41,024 mi.",Volkswagen of Ocala,4.8,"1,463 ","$23,444"
19,2020 Volkswagen Golf 1.4T TSI,"4,200 mi.",Leesburg Volkswagen,4.9,786 ,"$22,682"
20,2022 Volkswagen Atlas 3.6L SE w/Technology,219 mi.,Volkswagen of Wesley Chapel,3.3,11 ,"$39,349"
21,2018 Volkswagen Atlas 3.6L SEL,"71,210 mi.",Compass Volkswagen,n/a,0 ,"$27,908"
22,2021 Volkswagen Atlas Cross Sport 2.0T SEL,"11,353 mi.",Volkswagen of Milwaukee North,n/a,35 ,"$37,460"
23,2022 Volkswagen Jetta GLI 2.0T Autobahn,"8,412 mi.",Bergstrom Imports on Victory Lane,n/a,397 ,"$32,989"
24,2022 Volkswagen Passat 2.0T SE,"31,804 mi.",LaFontaine Volkswagen of Dearborn,2.5,140 ,"$22,878"
25,2020 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium R-Line,"41,710 mi.",Basil Volkswagen of Lockport,4.4,209 ,"$39,541"
26,2020 Volkswagen Jetta 1.4T S,"15,459 mi.",Hiley Automotive Group,n/a,28 ,"$19,990"
27,2022 Volkswagen Golf R 1.4T TSI,"6,773 mi.",Sutliff Volkswagen,n/a,70 ,"$51,433"
28,2021 Volkswagen Arteon 2.0T SEL R-Line,"15,581 mi.",Mohegan Lake Volkswagen,4.8,565 ,"$34,590"
29,2019 Volkswagen Atlas 3.6L SEL,"18,526 mi.",Volkswagen of West Islip,3.2,449 ,"$34,883"
30,2020 Volkswagen Atlas 3.6 SE,"30,016 mi.",Volkswagen of Smithtown,4.5,"1,509 ","$33,699"
31,2022 Volkswagen Atlas 3.6L SE w/Technology,"3,956 mi.",Harte Volkswagen,n/a,4 ,"$40,777"
32,2020 Volkswagen Passat 2.0T SEL,"29,896 mi.",Northampton Volkswagen,4.8,897 ,"$22,700"
33,2022 Volkswagen Arteon 2.0T SEL R-Line,"1,362 mi.",Northampton Volkswagen,4.8,897 ,"$42,057"
34,2022 Volkswagen Jetta 1.5T Sport,"4,662 mi.",Colonial Volkswagen,4.9,"2,430 ","$24,584"
35,2023 Volkswagen Atlas 3.6L SE w/Technology,"4,863 mi.",Volkswagen of Beaumont,5.0,307 ,"$42,000"
36,2019 Volkswagen Beetle 2.0T Final Edition SE,"33,826 mi.",McDonald Volkswagen,4.9,"1,541 ","$25,970"
37,2022 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,"39,440 mi.",Volkswagen of Ocala,4.8,"1,463 ","$34,353"
38,2019 Volkswagen Jetta 1.4T R-Line,"32,631 mi.",Kuhn Volkswagen,4.6,"1,204 ","$19,775"
39,2019 Volkswagen Arteon 2.0T SEL R-Line,"18,644 mi.",Findlay Volkswagen,4.7,46 ,"$30,100"
40,2021 Volkswagen Jetta GLI 2.0T S,"6,087 mi.",AutoNation Volkswagen Las Vegas,4.6,789 ,"$28,995"
41,2021 Volkswagen Arteon 2.0T SEL R-Line,"28,259 mi.",Central Valley Hyundai,4.8,796 ,"$32,998"
42,2019 Volkswagen Tiguan 2.0T SEL Premium,"32,422 mi.",Frank Boucher VW Kia of Racine,4.6,877 ,"$30,991"
43,2019 Volkswagen Jetta 1.4T S,"27,575 mi.",The Autobarn Volkswagen of Countryside,4.9,"1,181 ","$18,077"
44,2021 Volkswagen Atlas 2.0T S,"27,521 mi.",Larry Roesch Volkswagen,4.4,143 ,"$28,675"
45,2021 Volkswagen ID.4 Pro,"33,496 mi.",Volkswagen of Quad Cities,4.7,175 ,"$34,400"
46,2021 Volkswagen ID.4 Pro,"28,184 mi.",Joseph VW of Cincinnati,4.3,85 ,"$35,991"
47,2021 Volkswagen ID.4 Pro,"18,063 mi.",Joseph VW of Cincinnati,4.3,85 ,"$37,304"
48,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology,"43,194 mi.",Byers Volkswagen by the Airport,4.7,316 ,"$31,993"
49,2021 Volkswagen Passat 2.0T R-Line,"26,643 mi.",Classic Volkswagen Mentor,4.9,211 ,"$25,995"
50,2021 Volkswagen ID.4 Pro S,"8,222 mi.",Crown Toyota Volkswagen,4.7,399 ,"$45,721"
51,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line,"21,212 mi.",Village Volkswagen of Chattanooga,4.9,"1,145 ","$36,991"
52,2022 Volkswagen Atlas Cross Sport 3.6 V6 SEL Premium R-Line,"17,548 mi.",Jim Ellis Volkswagen of Kennesaw,4.9,"2,546 ","$47,614"
53,2022 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,"3,062 mi.",Driver's Village,2.7,162 ,"$39,718"
54,2019 Volkswagen Golf SportWagen 1.4T S,"57,943 mi.",Fitzgerald Volkswagen Annapolis,4.9,85 ,"$19,490"
55,2022 Volkswagen Passat 2.0T SE,"12,624 mi.",Three County Volkswagen,4.6,"1,772 ","$24,995"
56,2020 Volkswagen Atlas 3.6L SE w/Technology,"22,179 mi.",Curran Volkswagen,4.8,383 ,"$33,300"
57,2022 Volkswagen Jetta 1.5T SEL,"2,098 mi.",Low Country Volkswagen,4.1,180 ,"$33,991"
58,2021 Volkswagen Atlas 3.6 V6 SEL R-Line,"17,533 mi.",Nucar Volkswagen of Norwood,3.9,426 ,"$43,800"
59,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology,"11,455 mi.",Colonial Volkswagen of Medford,4.8,"2,167 ","$35,991"
60,2021 Volkswagen Atlas 3.6 V6 SEL Premium,"26,949 mi.",Coastal Volkswagen,4.7,"1,381 ","$39,926"
61,2021 Volkswagen Arteon 2.0T SEL R-Line 4MOTION,"23,968 mi.",Napleton's Volkswagen of Sanford,4.8,899 ,"$32,200"
62,2021 Volkswagen ID.4 Pro S,"28,273 mi.",AutoNation Audi Volkswagen Spokane,4.3,204 ,"$41,683"
63,2019 Volkswagen Tiguan 2.0T SEL,"24,454 mi.",Compass Volkswagen,n/a,0 ,"$27,337"
64,2022 Volkswagen Atlas 3.6L SE w/Technology,"3,040 mi.",City Volkswagen Of Evanston,4.9,"1,704 ","$39,000"
65,2019 Volkswagen Jetta GLI 2.0T Autobahn,"62,165 mi.",Fox Valley Volkswagen of St. Charles,4.3,699 ,"$22,995"
66,2021 Volkswagen Atlas 3.6 V6 SEL Premium R-Line,"31,341 mi.",Fox Valley Volkswagen of St. Charles,4.3,699 ,"$45,800"
67,2021 Volkswagen Arteon 2.0T SEL Premium R-Line,"17,920 mi.",Fox Valley Volkswagen of St. Charles,4.3,699 ,"$37,333"
68,2019 Volkswagen Tiguan 2.0T SE,"26,201 mi.",Hall Volkswagen Mazda,4.7,616 ,"$27,993"
69,2022 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,"7,434 mi.",Hall Volkswagen Mazda,4.7,616 ,"$41,991"
70,2021 Volkswagen Passat 2.0T R-Line,"16,350 mi.",Tom Wood Volkswagen,4.3,487 ,"$27,900"
